checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Low,12,existing paid,furniture/equipment,7865,Low,>=7,4,male single,4,no known property,53,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,9,existing paid,radio/tv,1478,Low,4<=X<7,4,male single,2,car,22,own,1,skilled,1,yes,0
Low,24,existing paid,furniture/equipment,3149,Low,<1,4,male single,1,no known property,22,for free,1,skilled,1,yes,1
High,36,existing paid,radio/tv,4210,Low,1<=X<4,4,male single,2,car,26,own,1,skilled,1,yes,0
No Checking,9,existing paid,new car,2507,High,>=7,2,male single,4,no known property,51,for free,1,unskilled resident,1,yes,1
No Checking,12,existing paid,radio/tv,2141,Medium,4<=X<7,3,male single,1,no known property,35,own,1,skilled,1,yes,1
Medium,18,existing paid,radio/tv,866,Low,1<=X<4,4,male mar/wid,2,real estate,25,own,1,unskilled resident,1,yes,1
No Checking,4,critical/other existing credit,radio/tv,1544,Low,4<=X<7,2,male single,1,real estate,42,own,3,unskilled resident,2,yes,1
Low,24,existing paid,radio/tv,1823,Low,unemployed,4,male single,2,car,30,own,1,high qualif/self emp/mgmt,2,yes,0
Medium,6,existing paid,new car,14555,No Savings,unemployed,1,male single,2,life insurance,23,own,1,unemp/unskilled non res,1,yes,0
Medium,21,existing paid,business,2767,Medium,>=7,4,male div/sep,2,car,61,rent,2,unskilled resident,1,yes,0
No Checking,12,critical/other existing credit,radio/tv,1291,Low,1<=X<4,4,female div/dep/mar,2,life insurance,35,own,2,skilled,1,yes,1
Low,30,existing paid,radio/tv,2522,Low,>=7,1,male single,3,life insurance,39,own,1,skilled,2,yes,1
Low,24,existing paid,new car,915,No Savings,>=7,4,female div/dep/mar,2,car,29,own,1,skilled,1,yes,0
No Checking,6,existing paid,radio/tv,1595,Low,4<=X<7,3,male single,2,life insurance,51,own,1,skilled,2,yes,1
Low,48,no credits/all paid,used car,4605,Low,>=7,3,male single,4,no known property,24,for free,2,skilled,2,yes,0
No Checking,12,critical/other existing credit,business,1185,Low,1<=X<4,3,female div/dep/mar,2,real estate,27,own,2,skilled,1,yes,1
No Checking,12,all paid,retraining,3447,High,1<=X<4,4,female div/dep/mar,3,real estate,35,own,1,unskilled resident,2,yes,1
No Checking,24,existing paid,business,1258,Low,4<=X<7,4,male single,1,real estate,25,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,717,Low,>=7,4,male single,4,real estate,52,own,3,skilled,1,yes,1
No Checking,6,no credits/all paid,new car,1204,Medium,1<=X<4,4,male single,1,no known property,35,rent,1,skilled,1,no,1
High,24,existing paid,furniture/equipment,1925,Low,1<=X<4,2,male single,2,real estate,26,own,1,skilled,1,yes,1
No Checking,18,existing paid,radio/tv,433,Low,unemployed,3,female div/dep/mar,4,real estate,22,rent,1,skilled,1,yes,0
Low,6,critical/other existing credit,new car,666,High,4<=X<7,3,female div/dep/mar,4,real estate,39,own,2,unskilled resident,1,yes,1
High,12,existing paid,furniture/equipment,2251,Low,1<=X<4,1,female div/dep/mar,2,car,46,own,1,unskilled resident,1,yes,1
Medium,30,existing paid,new car,2150,Low,1<=X<4,4,female div/dep/mar,2,no known property,24,own,1,skilled,1,yes,0
No Checking,24,delayed previously,furniture/equipment,4151,Medium,1<=X<4,2,male single,3,life insurance,35,own,2,skilled,1,yes,1
Medium,9,existing paid,furniture/equipment,2030,No Savings,4<=X<7,2,male single,1,car,24,own,1,skilled,1,yes,1
Medium,60,delayed previously,radio/tv,7418,No Savings,1<=X<4,1,male single,1,real estate,27,own,1,unskilled resident,1,yes,1
No Checking,24,critical/other existing credit,radio/tv,2684,Low,1<=X<4,4,male single,2,real estate,35,own,2,unskilled resident,1,yes,1
Low,12,all paid,radio/tv,2149,Low,1<=X<4,4,male div/sep,1,no known property,29,for free,1,skilled,1,yes,0
No Checking,15,existing paid,used car,3812,Medium,<1,1,female div/dep/mar,4,car,23,own,1,skilled,1,yes,1
No Checking,11,critical/other existing credit,radio/tv,1154,Medium,unemployed,4,female div/dep/mar,4,real estate,57,own,3,unskilled resident,1,yes,1
Low,12,existing paid,furniture/equipment,1657,Low,1<=X<4,2,male single,2,real estate,27,own,1,skilled,1,yes,1
Low,24,existing paid,radio/tv,1603,Low,>=7,4,female div/dep/mar,4,car,55,own,1,skilled,1,yes,1
Low,18,critical/other existing credit,new car,5302,Low,>=7,2,male single,4,no known property,36,for free,3,high qualif/self emp/mgmt,1,yes,1
No Checking,12,critical/other existing credit,education,2748,Low,>=7,2,female div/dep/mar,4,no known property,57,for free,3,unskilled resident,1,yes,1
No Checking,10,critical/other existing credit,new car,1231,Low,>=7,3,male single,4,real estate,32,own,2,unskilled resident,2,no,1
Medium,15,existing paid,radio/tv,802,Low,>=7,4,male single,3,car,37,own,1,skilled,2,yes,0
No Checking,36,critical/other existing credit,business,6304,No Savings,>=7,4,male single,4,real estate,36,own,2,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,1533,Low,<1,4,female div/dep/mar,3,car,38,own,1,skilled,1,yes,1
Low,14,existing paid,new car,8978,Low,>=7,1,male div/sep,4,life insurance,45,own,1,high qualif/self emp/mgmt,1,no,0
No Checking,24,existing paid,radio/tv,999,No Savings,>=7,4,male single,2,car,25,own,2,skilled,1,yes,1
No Checking,18,existing paid,new car,2662,No Savings,4<=X<7,4,male single,3,life insurance,32,own,1,skilled,1,no,1
No Checking,12,critical/other existing credit,furniture/equipment,1402,High,4<=X<7,3,female div/dep/mar,4,car,37,rent,1,skilled,1,yes,1
Medium,48,all paid,new car,12169,No Savings,unemployed,4,male single,4,no known property,36,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,48,existing paid,radio/tv,3060,Low,4<=X<7,4,male single,4,real estate,28,own,2,skilled,1,yes,0
Low,30,existing paid,repairs,11998,Low,<1,1,male div/sep,1,no known property,34,own,1,unskilled resident,1,yes,0
No Checking,9,existing paid,radio/tv,2697,Low,1<=X<4,1,male single,2,real estate,32,own,1,skilled,2,yes,1
No Checking,18,critical/other existing credit,radio/tv,2404,Low,1<=X<4,2,female div/dep/mar,2,car,26,own,2,skilled,1,yes,1
Low,12,existing paid,furniture/equipment,1262,No Savings,>=7,2,male div/sep,4,life insurance,49,own,1,unskilled resident,1,yes,1
No Checking,6,existing paid,furniture/equipment,4611,Low,<1,1,female div/dep/mar,4,life insurance,32,own,1,skilled,1,yes,0
No Checking,24,existing paid,radio/tv,1901,Medium,1<=X<4,4,male single,4,car,29,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,15,critical/other existing credit,used car,3368,High,>=7,3,male single,4,no known property,23,rent,2,skilled,1,yes,1
No Checking,12,existing paid,furniture/equipment,1574,Low,1<=X<4,4,male single,2,real estate,50,own,1,skilled,1,yes,1
High,18,all paid,radio/tv,1445,No Savings,4<=X<7,4,male single,4,car,49,own,1,unskilled resident,1,yes,1
No Checking,15,critical/other existing credit,furniture/equipment,1520,No Savings,>=7,4,male single,4,life insurance,63,own,1,skilled,1,yes,1
Medium,24,critical/other existing credit,new car,3878,Medium,<1,4,male div/sep,2,car,37,own,1,skilled,1,yes,1
Low,47,existing paid,new car,10722,Low,<1,1,female div/dep/mar,1,real estate,35,own,1,unskilled resident,1,yes,1
Low,48,existing paid,used car,4788,Low,4<=X<7,4,male single,3,life insurance,26,own,1,skilled,2,yes,1
Medium,48,delayed previously,other,7582,Medium,unemployed,2,male single,4,no known property,31,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,radio/tv,1092,Low,1<=X<4,4,female div/dep/mar,4,real estate,49,own,2,skilled,1,yes,1
Low,24,delayed previously,radio/tv,1024,Low,<1,4,male mar/wid,4,real estate,48,own,1,skilled,1,yes,0
No Checking,12,existing paid,business,1076,Low,1<=X<4,2,male mar/wid,2,real estate,26,own,1,skilled,1,no,1
Medium,36,existing paid,used car,9398,Low,<1,1,male mar/wid,4,car,28,rent,1,high qualif/self emp/mgmt,1,yes,0
Low,24,critical/other existing credit,used car,6419,Low,>=7,2,female div/dep/mar,4,no known property,44,for free,2,high qualif/self emp/mgmt,2,yes,1
High,42,critical/other existing credit,used car,4796,Low,>=7,4,male single,4,no known property,56,for free,1,skilled,1,yes,1
No Checking,48,critical/other existing credit,business,7629,No Savings,>=7,4,male div/sep,2,car,46,own,2,high qualif/self emp/mgmt,2,yes,1
Medium,48,existing paid,furniture/equipment,9960,Low,<1,1,female div/dep/mar,2,car,26,own,1,skilled,1,yes,0
No Checking,12,existing paid,used car,4675,No Savings,<1,1,female div/dep/mar,4,car,20,rent,1,skilled,1,yes,1
No Checking,10,existing paid,new car,1287,No Savings,>=7,4,male single,2,life insurance,45,own,1,unskilled resident,1,no,1
No Checking,18,existing paid,furniture/equipment,2515,Low,1<=X<4,3,male single,4,real estate,43,own,1,skilled,1,yes,1
Medium,21,critical/other existing credit,furniture/equipment,2745,High,4<=X<7,3,male single,2,car,32,own,2,skilled,1,yes,1
No Checking,6,existing paid,new car,672,Low,unemployed,1,female div/dep/mar,4,real estate,54,own,1,unemp/unskilled non res,1,yes,1
Medium,36,no credits/all paid,radio/tv,3804,Low,1<=X<4,4,female div/dep/mar,1,car,42,own,1,skilled,1,yes,0
High,24,critical/other existing credit,new car,1344,No Savings,4<=X<7,4,male single,2,real estate,37,own,2,unskilled resident,2,yes,0
Low,10,critical/other existing credit,new car,1038,Low,4<=X<7,4,male single,3,life insurance,49,own,2,skilled,1,yes,1
No Checking,48,critical/other existing credit,new car,10127,High,1<=X<4,2,male single,2,no known property,44,for free,1,skilled,1,yes,0
No Checking,6,existing paid,furniture/equipment,1543,High,1<=X<4,4,male div/sep,2,real estate,33,own,1,skilled,1,yes,1
No Checking,30,existing paid,used car,4811,No Savings,4<=X<7,2,female div/dep/mar,4,life insurance,24,rent,1,unskilled resident,1,yes,1
Low,12,existing paid,radio/tv,727,Medium,<1,4,male mar/wid,3,no known property,33,own,1,unskilled resident,1,yes,0
Medium,8,existing paid,furniture/equipment,1237,Low,1<=X<4,3,female div/dep/mar,4,real estate,24,own,1,skilled,1,yes,0
Medium,9,existing paid,new car,276,Low,1<=X<4,4,male mar/wid,4,real estate,22,rent,1,unskilled resident,1,yes,1
Medium,48,existing paid,other,5381,No Savings,unemployed,3,male single,4,no known property,40,for free,1,unemp/unskilled non res,1,yes,1
No Checking,24,existing paid,furniture/equipment,5511,Medium,1<=X<4,4,male single,1,car,25,own,1,skilled,1,yes,1
High,24,existing paid,furniture/equipment,3749,Low,<1,2,female div/dep/mar,4,car,26,own,1,skilled,1,yes,1
Medium,12,existing paid,new car,685,Low,4<=X<7,2,male mar/wid,3,car,25,own,1,unskilled resident,1,yes,0
High,4,existing paid,new car,1494,No Savings,<1,1,male single,2,real estate,29,own,1,unskilled resident,2,no,1
Low,36,all paid,furniture/equipment,2746,Low,>=7,4,male single,4,car,31,own,1,skilled,1,yes,0
Low,12,existing paid,furniture/equipment,708,Low,1<=X<4,2,male single,3,life insurance,38,own,1,unskilled resident,2,yes,1
Medium,24,existing paid,furniture/equipment,4351,No Savings,1<=X<4,1,female div/dep/mar,4,life insurance,48,own,1,unskilled resident,1,yes,1
No Checking,12,critical/other existing credit,education,701,Low,1<=X<4,4,male single,2,car,32,own,2,skilled,1,yes,1
Low,15,delayed previously,furniture/equipment,3643,Low,>=7,1,female div/dep/mar,4,life insurance,27,own,2,unskilled resident,1,yes,1
Medium,30,critical/other existing credit,new car,4249,Low,unemployed,4,male mar/wid,2,car,28,own,2,high qualif/self emp/mgmt,1,yes,0
Low,24,existing paid,radio/tv,1938,Low,<1,4,male div/sep,3,life insurance,32,own,1,skilled,1,yes,0
Low,24,existing paid,used car,2910,Low,4<=X<7,2,male single,1,no known property,34,for free,1,high qualif/self emp/mgmt,1,yes,1
Low,18,existing paid,furniture/equipment,2659,High,1<=X<4,4,male single,2,car,28,own,1,skilled,1,yes,1
No Checking,18,critical/other existing credit,new car,1028,Low,1<=X<4,4,female div/dep/mar,3,real estate,36,own,2,skilled,1,yes,1
Low,8,critical/other existing credit,new car,3398,Low,4<=X<7,1,male single,4,real estate,39,own,2,unskilled resident,1,no,1
No Checking,12,critical/other existing credit,furniture/equipment,5801,No Savings,>=7,2,male single,4,life insurance,49,rent,1,skilled,1,yes,1
No Checking,24,existing paid,new car,1525,High,4<=X<7,4,female div/dep/mar,3,car,34,own,1,skilled,2,yes,1
High,36,existing paid,radio/tv,4473,Low,>=7,4,male single,2,car,31,own,1,skilled,1,yes,1
Medium,6,existing paid,radio/tv,1068,Low,>=7,4,male single,4,car,28,own,1,skilled,2,yes,1
Low,24,critical/other existing credit,used car,6615,Low,unemployed,2,male single,4,no known property,75,for free,2,high qualif/self emp/mgmt,1,yes,1
No Checking,18,critical/other existing credit,education,1864,Medium,1<=X<4,4,female div/dep/mar,2,real estate,30,own,2,skilled,1,yes,0
Medium,60,existing paid,new car,7408,Medium,<1,4,female div/dep/mar,2,life insurance,24,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,48,critical/other existing credit,used car,11590,Medium,1<=X<4,2,female div/dep/mar,4,car,24,rent,2,unskilled resident,1,yes,0
Low,24,no credits/all paid,furniture/equipment,4110,Low,>=7,3,male single,4,no known property,23,rent,2,skilled,2,yes,0
Low,6,critical/other existing credit,furniture/equipment,3384,Low,1<=X<4,1,male div/sep,4,real estate,44,rent,1,high qualif/self emp/mgmt,1,yes,0
Medium,13,existing paid,radio/tv,2101,Low,<1,2,female div/dep/mar,4,life insurance,23,own,1,unskilled resident,1,yes,1
Low,15,existing paid,domestic appliance,1275,No Savings,1<=X<4,4,female div/dep/mar,2,car,24,rent,1,skilled,1,yes,0
Low,24,existing paid,furniture/equipment,4169,Low,1<=X<4,4,male single,4,life insurance,28,own,1,skilled,1,yes,1
Medium,10,existing paid,furniture/equipment,1521,Low,1<=X<4,4,male div/sep,2,car,31,own,1,unskilled resident,1,yes,1
Medium,24,critical/other existing credit,education,5743,Low,<1,2,female div/dep/mar,4,no known property,24,for free,2,skilled,1,yes,1
Low,21,existing paid,furniture/equipment,3599,Low,4<=X<7,1,female div/dep/mar,4,car,26,rent,1,unskilled resident,1,yes,1
Medium,18,existing paid,radio/tv,3213,High,<1,1,male mar/wid,3,real estate,25,rent,1,skilled,1,yes,1
Medium,18,existing paid,business,4439,Low,>=7,1,male single,1,real estate,33,own,1,high qualif/self emp/mgmt,1,yes,1
High,10,existing paid,new car,3949,Low,<1,1,male single,1,life insurance,37,own,1,unskilled resident,2,yes,1
No Checking,15,critical/other existing credit,radio/tv,1459,Low,1<=X<4,4,female div/dep/mar,2,car,43,own,1,unskilled resident,1,yes,1
Medium,13,critical/other existing credit,radio/tv,882,Low,<1,4,male single,4,real estate,23,own,2,skilled,1,yes,1
Medium,24,existing paid,radio/tv,3758,High,unemployed,1,female div/dep/mar,4,no known property,23,rent,1,unemp/unskilled non res,1,yes,1
No Checking,6,delayed previously,business,1743,Medium,1<=X<4,1,male single,2,real estate,34,own,2,unskilled resident,1,yes,1
Medium,9,critical/other existing credit,education,1136,High,>=7,4,male single,3,no known property,32,for free,2,skilled,2,yes,0
No Checking,9,existing paid,domestic appliance,1236,Low,<1,1,female div/dep/mar,4,real estate,23,rent,1,skilled,1,yes,1
Medium,9,existing paid,furniture/equipment,959,Low,1<=X<4,1,female div/dep/mar,2,car,29,own,1,skilled,1,no,0
No Checking,18,critical/other existing credit,used car,3229,No Savings,unemployed,2,male single,4,no known property,38,own,1,high qualif/self emp/mgmt,1,yes,1
Low,12,no credits/all paid,radio/tv,6199,Low,1<=X<4,4,male single,2,life insurance,28,rent,2,skilled,1,yes,0
No Checking,10,existing paid,education,727,High,>=7,4,male single,4,no known property,46,for free,1,skilled,1,yes,1
Medium,24,existing paid,new car,1246,Low,<1,4,male single,2,real estate,23,own,1,unskilled resident,1,yes,0
No Checking,12,critical/other existing credit,radio/tv,2331,No Savings,>=7,1,male single,4,real estate,49,own,1,skilled,1,yes,1
No Checking,36,delayed previously,radio/tv,4463,Low,1<=X<4,4,male single,2,car,26,own,2,high qualif/self emp/mgmt,1,yes,0
No Checking,12,existing paid,radio/tv,776,Low,1<=X<4,4,male mar/wid,2,real estate,28,own,1,skilled,1,yes,1
Low,30,existing paid,furniture/equipment,2406,Low,4<=X<7,4,female div/dep/mar,4,real estate,23,rent,1,skilled,1,yes,0
Medium,18,existing paid,education,1239,No Savings,1<=X<4,4,male single,4,no known property,61,for free,1,skilled,1,yes,1
High,12,existing paid,radio/tv,3399,No Savings,>=7,2,male single,3,car,37,own,1,high qualif/self emp/mgmt,1,yes,1
High,12,delayed previously,new car,2247,Low,1<=X<4,2,female div/dep/mar,2,car,36,own,2,skilled,1,yes,1
No Checking,6,existing paid,furniture/equipment,1766,Low,1<=X<4,1,male mar/wid,2,life insurance,21,rent,1,skilled,1,yes,1
Low,18,existing paid,furniture/equipment,2473,Low,unemployed,4,male single,1,car,25,own,1,unemp/unskilled non res,1,yes,0
No Checking,12,existing paid,business,1542,Low,4<=X<7,2,male single,4,car,36,own,1,skilled,1,yes,1
No Checking,18,critical/other existing credit,used car,3850,Low,4<=X<7,3,male single,1,car,27,own,2,skilled,1,yes,1
Low,18,existing paid,furniture/equipment,3650,Low,<1,1,female div/dep/mar,4,car,22,rent,1,skilled,1,yes,1
Low,36,existing paid,furniture/equipment,3446,Low,>=7,4,male single,2,car,42,own,1,skilled,2,yes,0
Medium,18,existing paid,furniture/equipment,3001,Low,4<=X<7,2,female div/dep/mar,4,real estate,40,rent,1,skilled,1,yes,1
No Checking,36,existing paid,new car,3079,No Savings,1<=X<4,4,male single,4,real estate,36,own,1,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,6070,Low,>=7,3,male single,4,car,33,own,2,skilled,1,yes,1
No Checking,10,critical/other existing credit,furniture/equipment,2146,Low,<1,1,female div/dep/mar,3,real estate,23,rent,2,skilled,1,yes,1
No Checking,60,critical/other existing credit,new car,13756,No Savings,>=7,2,male single,4,no known property,63,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,60,all paid,other,14782,Medium,>=7,3,female div/dep/mar,4,no known property,60,for free,2,high qualif/self emp/mgmt,1,yes,0
Low,48,all paid,business,7685,Low,4<=X<7,2,female div/dep/mar,4,car,37,rent,1,skilled,1,yes,0
No Checking,18,delayed previously,radio/tv,2320,Low,unemployed,2,male mar/wid,3,real estate,34,own,2,skilled,1,yes,1
No Checking,7,delayed previously,radio/tv,846,No Savings,>=7,3,male single,4,no known property,36,for free,1,skilled,1,yes,1
Medium,36,existing paid,new car,14318,Low,>=7,4,male single,2,no known property,57,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,6,critical/other existing credit,new car,362,Medium,1<=X<4,4,female div/dep/mar,4,car,52,own,2,unskilled resident,1,yes,1
Low,20,existing paid,furniture/equipment,2212,No Savings,4<=X<7,4,male single,4,car,39,own,1,skilled,1,yes,1
Medium,18,existing paid,used car,12976,Low,unemployed,3,female div/dep/mar,4,no known property,38,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,22,existing paid,new car,1283,No Savings,4<=X<7,4,female div/dep/mar,4,life insurance,25,rent,1,skilled,1,yes,1
High,12,existing paid,new car,1330,Low,<1,4,male single,1,real estate,26,own,1,skilled,1,yes,1
No Checking,30,delayed previously,business,4272,Medium,1<=X<4,2,male single,2,life insurance,26,own,2,unskilled resident,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,2238,Low,1<=X<4,2,female div/dep/mar,1,car,25,own,2,skilled,1,yes,1
No Checking,18,existing paid,radio/tv,1126,No Savings,<1,4,female div/dep/mar,2,real estate,21,rent,1,skilled,1,yes,1
Medium,18,critical/other existing credit,furniture/equipment,7374,Low,unemployed,4,male single,4,life insurance,40,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,15,critical/other existing credit,business,2326,High,1<=X<4,2,male single,4,car,27,own,1,skilled,1,yes,1
No Checking,9,existing paid,business,1449,Low,4<=X<7,3,female div/dep/mar,2,car,27,own,2,skilled,1,yes,1
No Checking,18,existing paid,new car,1820,Low,1<=X<4,2,male mar/wid,2,life insurance,30,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,furniture/equipment,983,High,<1,1,female div/dep/mar,4,real estate,19,rent,1,unskilled resident,1,yes,1
Low,36,existing paid,new car,3249,Low,4<=X<7,2,male single,4,no known property,39,for free,1,high qualif/self emp/mgmt,2,yes,1
Low,6,critical/other existing credit,radio/tv,1957,Low,4<=X<7,1,female div/dep/mar,4,car,31,own,1,skilled,1,yes,1
No Checking,9,critical/other existing credit,furniture/equipment,2406,Low,unemployed,2,male single,3,car,31,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,39,delayed previously,education,11760,Medium,4<=X<7,2,male single,3,no known property,32,rent,1,skilled,1,yes,1
Low,12,existing paid,furniture/equipment,2578,Low,unemployed,3,female div/dep/mar,4,no known property,55,for free,1,high qualif/self emp/mgmt,1,yes,1
Low,36,critical/other existing credit,furniture/equipment,2348,Low,1<=X<4,3,male mar/wid,2,life insurance,46,own,2,skilled,1,yes,1
Medium,12,existing paid,new car,1223,Low,>=7,1,male div/sep,1,real estate,46,rent,2,skilled,1,yes,0
No Checking,24,critical/other existing credit,radio/tv,1516,High,1<=X<4,4,female div/dep/mar,1,real estate,43,own,2,unskilled resident,1,yes,1
No Checking,18,existing paid,radio/tv,1473,Low,<1,3,male mar/wid,4,real estate,39,own,1,skilled,1,yes,1
Medium,18,critical/other existing credit,business,1887,No Savings,1<=X<4,4,male mar/wid,4,real estate,28,own,2,skilled,1,yes,1
No Checking,24,delayed previously,business,8648,Low,<1,2,male single,2,car,27,own,2,skilled,1,yes,0
No Checking,14,delayed previously,new car,802,Low,1<=X<4,4,male single,2,car,27,own,2,unskilled resident,1,yes,1
Medium,18,delayed previously,new car,2899,No Savings,>=7,4,male single,4,car,43,own,1,skilled,2,yes,1
Medium,24,existing paid,radio/tv,2039,Low,<1,1,male mar/wid,1,life insurance,22,own,1,skilled,1,yes,0
No Checking,24,critical/other existing credit,used car,2197,No Savings,4<=X<7,4,male single,4,car,43,own,2,skilled,2,yes,1
Low,15,existing paid,radio/tv,1053,Low,<1,4,male mar/wid,2,real estate,27,own,1,skilled,1,no,1
No Checking,24,existing paid,radio/tv,3235,High,>=7,3,male div/sep,2,car,26,own,1,high qualif/self emp/mgmt,1,yes,1
High,12,critical/other existing credit,new car,939,High,4<=X<7,4,male mar/wid,2,real estate,28,own,3,skilled,1,yes,0
Medium,24,existing paid,radio/tv,1967,Low,>=7,4,female div/dep/mar,4,car,20,own,1,skilled,1,yes,1
No Checking,33,critical/other existing credit,used car,7253,Low,4<=X<7,3,male single,2,car,35,own,2,high qualif/self emp/mgmt,1,yes,1
No Checking,12,critical/other existing credit,business,2292,Low,unemployed,4,male single,2,car,42,own,2,high qualif/self emp/mgmt,1,yes,0
No Checking,10,existing paid,new car,1597,High,1<=X<4,3,male single,2,no known property,40,rent,1,unskilled resident,2,no,1
Low,24,existing paid,new car,1381,No Savings,1<=X<4,4,female div/dep/mar,2,life insurance,35,own,1,skilled,1,yes,0
No Checking,36,critical/other existing credit,used car,5842,Low,>=7,2,male single,2,life insurance,35,own,2,skilled,2,yes,1
Low,12,existing paid,new car,2579,Low,<1,4,male single,1,real estate,33,own,1,unskilled resident,2,yes,0
Low,18,delayed previously,education,8471,No Savings,1<=X<4,1,female div/dep/mar,2,car,23,rent,2,skilled,1,yes,1
No Checking,21,existing paid,new car,2782,High,4<=X<7,1,female div/dep/mar,2,car,31,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,18,existing paid,new car,1042,No Savings,1<=X<4,4,female div/dep/mar,2,life insurance,33,own,1,skilled,1,yes,0
No Checking,15,existing paid,new car,3186,High,4<=X<7,2,female div/dep/mar,3,car,20,rent,1,skilled,1,yes,1
Medium,12,existing paid,used car,2028,No Savings,1<=X<4,4,male single,2,car,30,own,1,skilled,1,yes,1
Medium,12,critical/other existing credit,new car,958,Low,4<=X<7,2,male single,3,real estate,47,own,2,unskilled resident,2,yes,1
No Checking,21,delayed previously,furniture/equipment,1591,Medium,4<=X<7,4,male single,3,real estate,34,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,furniture/equipment,2762,No Savings,>=7,1,female div/dep/mar,2,life insurance,25,own,1,skilled,1,yes,0
Medium,18,existing paid,used car,2779,Low,1<=X<4,1,male mar/wid,3,car,21,rent,1,skilled,1,yes,1
No Checking,28,critical/other existing credit,radio/tv,2743,Low,>=7,4,male single,2,car,29,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1149,High,1<=X<4,4,male single,3,real estate,46,own,2,skilled,1,yes,1
No Checking,9,existing paid,furniture/equipment,1313,Low,>=7,1,male single,4,car,20,own,1,skilled,1,yes,1
Low,18,critical/other existing credit,repairs,1190,Low,unemployed,2,female div/dep/mar,4,no known property,55,for free,3,unemp/unskilled non res,2,yes,0
No Checking,5,existing paid,business,3448,Low,4<=X<7,1,male single,4,real estate,74,own,1,unskilled resident,1,yes,1
Medium,24,existing paid,other,11328,Low,1<=X<4,2,male single,3,car,29,own,2,high qualif/self emp/mgmt,1,yes,0
Low,6,critical/other existing credit,furniture/equipment,1872,Low,unemployed,4,male single,4,no known property,36,for free,3,high qualif/self emp/mgmt,1,yes,1
No Checking,24,critical/other existing credit,repairs,2058,Low,1<=X<4,4,male div/sep,2,real estate,33,own,2,skilled,1,yes,1
Low,9,existing paid,furniture/equipment,2136,Low,1<=X<4,3,male single,2,real estate,25,own,1,skilled,1,yes,1
Medium,12,existing paid,radio/tv,1484,No Savings,1<=X<4,2,male mar/wid,1,real estate,25,own,1,skilled,1,yes,0
No Checking,6,existing paid,repairs,660,High,4<=X<7,2,male mar/wid,4,real estate,23,rent,1,unskilled resident,1,yes,1
No Checking,24,critical/other existing credit,new car,1287,High,>=7,4,female div/dep/mar,4,real estate,37,own,2,skilled,1,yes,1
Low,42,critical/other existing credit,repairs,3394,Low,unemployed,4,male single,4,car,65,own,2,unemp/unskilled non res,1,yes,1
High,12,all paid,business,609,Low,<1,4,female div/dep/mar,1,real estate,26,own,1,unemp/unskilled non res,1,yes,0
No Checking,12,existing paid,new car,1884,Low,>=7,4,male single,4,car,39,own,1,high qualif/self emp/mgmt,1,yes,1
Low,12,existing paid,furniture/equipment,1620,Low,1<=X<4,2,female div/dep/mar,3,life insurance,30,own,1,skilled,1,yes,1
Medium,20,delayed previously,other,2629,Low,1<=X<4,2,male single,3,car,29,own,2,skilled,1,yes,1
No Checking,12,existing paid,education,719,Low,>=7,4,male single,4,car,41,own,1,unskilled resident,2,yes,0
Medium,48,critical/other existing credit,furniture/equipment,5096,Low,1<=X<4,2,female div/dep/mar,3,car,30,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,9,critical/other existing credit,education,1244,No Savings,>=7,4,female div/dep/mar,4,life insurance,41,rent,2,unskilled resident,1,yes,1
Low,36,existing paid,new car,1842,Low,<1,4,female div/dep/mar,4,car,34,own,1,skilled,1,yes,0
Medium,7,existing paid,radio/tv,2576,Low,1<=X<4,2,male single,2,real estate,35,own,1,skilled,1,yes,1
High,12,existing paid,furniture/equipment,1424,No Savings,>=7,3,female div/dep/mar,4,real estate,55,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,15,delayed previously,repairs,1512,High,1<=X<4,3,male mar/wid,3,life insurance,61,own,2,skilled,1,yes,0
No Checking,36,critical/other existing credit,used car,11054,No Savings,1<=X<4,4,male single,2,car,30,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,6,existing paid,radio/tv,518,Low,1<=X<4,3,female div/dep/mar,1,real estate,29,own,1,skilled,1,yes,1
